tree_id,date,dbh_cm,instrument_id,species,instrument_method
T1,2020-01-01,10.0,INST_01,pine,digital_caliper
T1,2022-01-01,14.0,INST_01,pine,digital_caliper
T2,2021-01-01,8.0,INST_02,maple,diameter_tape
T2,2023-01-01,8.5,INST_02,maple,diameter_tape
T3,2022-01-01,15.0,INST_03,oak,electronic_dbh
T3,2023-01-01,14.5,INST_03,oak,electronic_dbh
T4,2022-01-01,20.0,INST_04,spruce,digital_caliper
T4,2023-01-01,25.5,INST_04,spruce,digital_caliper
T5,2024-01-01,12.0,INST_05,,diameter_tape
T6,2023-01-01,10.0,INST_06,,electronic_dbh
T6,2024-01-01,13.6,INST_06,,electronic_dbh
