tree_id,date,measurement_type,value,instrument_id,species,instrument_method,plot_id,status
T01,2022-01-01,dbh,32.0,INST_01,oak,digital_caliper,PLOT_1,alive
T01,2023-01-01,dbh,33.0,INST_01,oak,digital_caliper,PLOT_1,alive
T01,2024-01-01,dbh,34.0,INST_01,oak,digital_caliper,PLOT_1,alive
T01,2022-01-01,height,17.0,INST_H01,oak,field_inventory,PLOT_1,alive
T01,2024-01-01,height,18.0,INST_H01,oak,field_inventory,PLOT_1,alive
T02,2022-01-01,dbh,28.5,INST_02,oak,digital_caliper,PLOT_1,alive
T02,2023-01-01,dbh,29.3,INST_02,oak,digital_caliper,PLOT_1,alive
T02,2024-01-01,dbh,30.1,INST_02,oak,digital_caliper,PLOT_1,alive
T02,2022-01-01,height,15.5,INST_H02,oak,field_inventory,PLOT_1,alive
T02,2024-01-01,height,16.5,INST_H02,oak,field_inventory,PLOT_1,alive
T03,2022-01-01,dbh,38.0,INST_03,oak,digital_caliper,PLOT_1,alive
T03,2023-01-01,dbh,39.2,INST_03,oak,digital_caliper,PLOT_1,alive
T03,2024-01-01,dbh,40.3,INST_03,oak,digital_caliper,PLOT_1,alive
T03,2022-01-01,height,19.0,INST_H03,oak,field_inventory,PLOT_1,alive
T03,2024-01-01,height,20.0,INST_H03,oak,field_inventory,PLOT_1,alive
T04,2022-01-01,dbh,44.0,INST_04,oak,digital_caliper,PLOT_1,alive
T04,2023-01-01,dbh,45.2,INST_04,oak,digital_caliper,PLOT_1,alive
T04,2024-01-01,dbh,46.4,INST_04,oak,digital_caliper,PLOT_1,alive
T04,2022-01-01,height,21.0,INST_H04,oak,field_inventory,PLOT_1,alive
T04,2024-01-01,height,22.0,INST_H04,oak,field_inventory,PLOT_1,alive
T05,2022-01-01,dbh,25.0,INST_05,oak,digital_caliper,PLOT_1,alive
T05,2023-01-01,dbh,25.8,INST_05,oak,digital_caliper,PLOT_1,alive
T05,2024-01-01,dbh,26.5,INST_05,oak,digital_caliper,PLOT_1,alive
T05,2022-01-01,height,14.0,INST_H05,oak,field_inventory,PLOT_1,alive
T05,2024-01-01,height,15.0,INST_H05,oak,field_inventory,PLOT_1,alive
T06,2022-01-01,dbh,35.0,INST_06,beech,digital_caliper,PLOT_1,alive
T06,2023-01-01,dbh,36.2,INST_06,beech,digital_caliper,PLOT_1,alive
T06,2024-01-01,dbh,37.4,INST_06,beech,digital_caliper,PLOT_1,alive
T06,2022-01-01,height,18.0,INST_H06,beech,field_inventory,PLOT_1,alive
T06,2024-01-01,height,19.0,INST_H06,beech,field_inventory,PLOT_1,alive
T07,2022-01-01,dbh,29.0,INST_07,beech,digital_caliper,PLOT_1,alive
T07,2023-01-01,dbh,30.1,INST_07,beech,digital_caliper,PLOT_1,alive
T07,2024-01-01,dbh,31.2,INST_07,beech,digital_caliper,PLOT_1,alive
T07,2022-01-01,height,16.0,INST_H07,beech,field_inventory,PLOT_1,alive
T07,2024-01-01,height,17.0,INST_H07,beech,field_inventory,PLOT_1,alive
T08,2022-01-01,dbh,41.0,INST_08,beech,diameter_tape,PLOT_1,alive
T08,2023-01-01,dbh,42.2,INST_08,beech,diameter_tape,PLOT_1,alive
T08,2024-01-01,dbh,43.3,INST_08,beech,diameter_tape,PLOT_1,alive
T08,2022-01-01,height,20.0,INST_H08,beech,field_inventory,PLOT_1,alive
